,date,temp_min,temp_max,effectiveRain,irrigation,sowingdays,tempoIrriga,cadRoot,etc,eto_pm,AFD,ATD,ADD,deficit,aguaComplementar,Capacidade de campo,Umidade de seguranca,Umidade do solo
0,2021-03-13,,,0.0,0.0,195,54.84,45,4.978875,5.61,0,0.0,0.0,4.978875,45.0,100,50,0.0
1,2021-03-14,17.23,24.07,0.0,0.0,196,40.98,45,4.197875,4.73,0,10.8085656582926,10.8085656582926,1.50644065829264,33.6225624649551,100,50,24.01903479620578
2,2021-03-15,,,0.0,0.0,197,43.9,45,4.5795,5.16,0,8.53208132845232,8.53208132845232,2.30301567015968,36.0188617595239,100,50,18.960180729894045
3,2021-03-16,,,0.0,0.0,198,46.2,45,4.56175,5.14,0,6.73939775341979,6.73939775341979,2.76906642496748,37.9058971016634,100,50,14.976439452043977
4,2021-03-17,,,0.0,0.0,199,48.01,45,4.535125,5.11,0,5.32852696956938,5.32852696956938,3.12425421614958,39.3910242425586,100,50,11.841171043487513
5,2021-03-18,,,0.0,0.0,200,49.44,45,4.517375,5.09,0,4.21574214670718,4.21574214670718,3.4045901771378,40.5623766876767,100,50,9.368315881571512
6,2021-03-19,,,0.0,0.0,201,50.51,45,4.197875,4.73,0,3.37526857711971,3.37526857711971,3.35740143041253,41.447085708295,100,50,7.5005968380437995
7,2021-03-20,,,0.0,0.0,202,51.44,45,4.712625,5.31,0,2.65168334925334,2.65168334925334,3.98903977213363,42.208754369207,100,50,5.892629665007422
8,2021-03-21,,,0.0,0.0,203,52.12,45,4.215625,4.75,0,2.12159816533129,2.12159816533129,3.68553981607795,42.7667387733355,100,50,4.714662589625089
9,2021-03-22,,,0.0,0.0,204,52.68,45,4.4375,5.0,0,1.68345543776142,1.68345543776142,3.99935727243013,43.2279416444617,100,50,3.741012083914266
10,2021-03-23,,,0.0,0.0,205,53.12,45,4.27775,4.82,0,1.34376588665947,1.34376588665947,3.93806044889804,43.58550959299,100,50,2.986146414798822
